Ticker,Rank,Price,Market Cap,High,Year Price Change,Year % Price Change,Year Market Cap Change,Year % Market Cap Change
IOT,57,1.26156502,3506558177.0,5.37999362,0.94310092,2.9614,0.94310092,2.9614
ENJ,58,3.69126801,3448901790.0,3.69126801,3.54609102,24.426,3.54609102,24.426
RUNE,59,10.78671435,3198711612.0,20.35248168,9.93790521,11.7081,9.93790521,11.7081
LRC,60,2.55502626,3183540917.0,3.22286397,2.36587009,12.5075,2.36587009,12.5075
KSM,61,346.34171897,3110182604.0,597.25477912,307.66906122,7.9557,307.66906122,7.9557
QNT,62,229.86301944,3080386846.0,395.51538553,216.66315003,16.414,216.66315003,16.414
HARMONY,63,0.28413885,3068883621.0,0.34651029,0.27896053,53.8709,0.27896053,53.8709
AR,64,60.81056509,3047126322.0,85.93761948,58.20720219,22.3585,58.20720219,22.3585
LEO,65,3.20145132,3012852968.0,3.88279982,1.9036012,1.4667,1.9036012,1.4667
KDA,66,18.7979771,2964609569.0,23.99487929,18.58951051,89.1726,18.58951051,89.1726
BSV,67,154.37915996,2918077065.0,441.25387227,-23.90603197,-0.1341,-23.90603197,-0.1341
NEO,68,40.94313531,2887719333.0,190.68858371,23.75670918,1.3823,23.75670918,1.3823
GALA,69,0.36782063,2774285860.0,0.36782063,0.36758203,1540.5542,0.36758203,1540.5542
MKR,70,2966.50989703,2673747845.0,5990.49947018,2404.80654261,4.2813,2404.80654261,4.2813
BLOCKSTACK,71,2.02235261,2599265824.0,2.69511943,1.81277106,8.6495,1.81277106,8.6495
BCHA,72,135.73113729,2550938921.0,338.51996797,110.03895308,4.283,110.03895308,4.283
AMP2,73,0.051258862,2461139338.0,0.10878536,0.046493611,9.7568,0.046493611,9.7568
CHZ,74,0.456751,2440906843.0,0.71624549,0.44564228,40.1164,0.44564228,40.1164
HOT,75,0.012661252,2248884366.0,0.028689249,0.012105701,21.7905,0.012105701,21.7905
BITTORRENT,76,0.0033502896,2208081695.0,0.010395471,0.0030383595,9.7405,0.0030383595,9.7405
WAVES,77,21.37214387,2137214387.0,35.90828377,14.30664119,2.0249,14.30664119,2.0249
ZEC,78,177.05472919,2091690324.0,2073.78376166,108.26660847,1.5739,108.26660847,1.5739
SUSHI,79,8.79361141,2079282442.0,22.77775629,7.17237858,4.424,7.17237858,4.424
DASH,80,188.75411973,1970284642.0,1440.26667915,98.34946747,1.0879,98.34946747,1.0879
SAFEMOON,81,3.4102954e-06,1948368048.0,9.3248426e-06,3.4100798e-06,15818.8354,3.4100798e-06,15818.8354
COMP,82,304.27603546,1877565389.0,855.7271345,187.35013392,1.6023,187.35013392,1.6023
KCS,83,23.5465217,1820746022.0,26.48714792,22.74480053,28.37,22.74480053,28.37
IOTX,84,0.19116796,1814342497.0,0.24995721,0.18318318,22.9415,0.18318318,22.9415
CELO,85,5.25840325,1719041143.0,7.61529995,3.23784197,1.6024,3.23784197,1.6024
